N;REGION;DISTRICT;COMMUNE;FOKONTANY;CENTRE DE VOTE;CODE BV;BUREAU DE VOTE
15366;BOENY;SOALALA;ANDRANOMAVO;BEHENA;EPP BEHENA;420602040101;EPP BEHENA
15367;BOENY;SOALALA;ANDRANOMAVO;SOROMARAY;EPP SOROMARAY;420602050101;EPP SOROMARAY
15368;BOENY;SOALALA;ANDRANOMAVO;TSABOAHITSY;EPP TSABOAHITSY;420602060101;EPP TSABOAHITSY
15369;BOENY;SOALALA;ANDRANOMAVO;TSABOAHITSY;EPP ANDASIBE;420602060201;EPP ANDASIBE
15370;BOENY;SOALALA;ANDRANOMAVO;ANTSIRABE;EPP ANTSIRABE;420602070101;EPP ANTSIRABE
15371;BOENY;SOALALA;ANDRANOMAVO;AMBONARA;EPP AMBONARA;420602080101;EPP AMBONARA
15372;BOENY;SOALALA;ANDRANOMAVO;ANKAZOMBORONA;BUR FKT ANKAZOMBORONA;420602090101;BUR FKT ANKAZOMBORONA
15373;BOENY;SOALALA;ANDRANOMAVO;AMBOLOANDO;EPP AMBOLOANDO;420602100101;EPP AMBOLOANDO
15374;BOENY;SOALALA;ANDRANOMAVO;BEFATIKA;BUR FKT BEFATIKA;420602110101;BUR FKT BEFATIKA
15375;BOENY;SOALALA;ANDRANOMAVO;VILANANDRO;EPP VILANANDRO;420602120101;EPP VILANANDRO SALLE 1
15376;BOENY;SOALALA;ANDRANOMAVO;VILANANDRO;EPP VILANANDRO;420602120102;EPP VILANANDRO SALLE 2
15377;BOENY;SOALALA;ANDRANOMAVO;AMBANJABE;EPP AMBANJABE;420602130101;EPP AMBANJABE
15378;BOENY;SOALALA;ANDRANOMAVO;ANDRAFIABE;EPP ANDRAFIABE;420602140101;EPP ANDRAFIABE
15379;BOENY;SOALALA;ANDRANOMAVO;ANDRAFIAMANJERA;EPP ANDRAFIAMANJERA;420602150101;EPP ANDRAFIAMANJERA
15380;BOENY;SOALALA;ANDRANOMAVO;ANDOHARANO;EPP ANDOHARANO;420602160101;EPP ANDOHARANO
15381;BOENY;SOALALA;ANDRANOMAVO;AMBOROMIANTO;EPP AMBOROMIANTO;420602170101;EPP AMBOROMIANTO
15382;BOENY;SOALALA;ANDRANOMAVO;AMBODIFANO;EPP AMBODIFANO;420602180101;EPP AMBODIFANO
15383;BOENY;SOALALA;ANDRANOMAVO;TSARABANJA;EPP TSARABANJA;420602190101;EPP TSARABANJA
15384;BOENY;SOALALA;ANDRANOMAVO;NAMOROKA;EPP  NAMOROKA;420602200101;EPP  NAMOROKA
15385;BOENY;SOALALA;ANDRANOMAVO;ANDRANONANKOAY;EPP ANDRANONANKOAY;420602210101;EPP ANDRANONANKOAY
15386;BOENY;SOALALA;ANDRANOMAVO;MALANDIANDRO;EPP MALANDIANDRO;420602220101;EPP MALANDIANDRO
15387;BOENY;SOALALA;ANDRANOMAVO;ANALATELO;EPP ANALATELO;420602230101;EPP ANALATELO
15388;BOENY;SOALALA;ANDRANOMAVO;NAMAHOTA;EPP NAMAHOTA;420602240101;EPP NAMAHOTA
15389;BOENY;SOALALA;SOALALA;SOALALA;EPP SOALALA;420603010101;EPP SOALALA SALLE 1
15390;BOENY;SOALALA;SOALALA;SOALALA;EPP SOALALA;420603010102;EPP SOALALA SALLE 2
15391;BOENY;SOALALA;SOALALA;SOALALA;EPP SOALALA;420603010103;EPP SOALALA SALLE 3
15392;BOENY;SOALALA;SOALALA;AMBOROKA;EPP AMBOROKA;420603020101;EPP AMBOROKA SALLE 1
15393;BOENY;SOALALA;SOALALA;AMBOROKA;EPP AMBOROKA;420603020102;EPP AMBOROKA SALLE 2
15394;BOENY;SOALALA;SOALALA;BEBAO;EPP BEBAO;420603030101;EPP BEBAO
15395;BOENY;SOALALA;SOALALA;BELAFIKA;EPP BELAFIKA;420603040101;EPP BELAFIKA
15396;BOENY;SOALALA;SOALALA;MADIROMILEKA;EPP MADIROMILEKA;420603050101;EPP MADIROMILEKA SALLE 1
15397;BOENY;SOALALA;SOALALA;MADIROMILEKA;EPP MADIROMILEKA;420603050102;EPP MADIROMILEKA SALLE 2
15398;BOENY;SOALALA;SOALALA;ANTAMBOHO;EPP ANTAMBOHO;420603090101;EPP ANTAMBOHO
15399;BOENY;SOALALA;SOALALA;BALY;EPP BALY;420603100101;EPP BALY
15400;BOENY;SOALALA;SOALALA;BALY;EPP MAROALIKA;420603100201;EPP MAROALIKA
15401;BOENY;SOALALA;SOALALA;BEKOMANGA;EPP BEKOMANGA;420603110101;EPP BEKOMANGA
15402;BOENY;SOALALA;SOALALA;ANJIAMALOTO;EPP ANJIAMALOTO;420603130101;EPP ANJIAMALOTO
15403;BOENY;SOALALA;SOALALA;ANKERA;EPP ANKERA;420603140101;EPP ANKERA
15404;BOENY;SOALALA;SOALALA;ANTANAMANINTSY;EPP ANTANAMANINTSY;420603150101;EPP ANTANAMANINTSY
15405;BOENY;SOALALA;SOALALA;BEMOLOLO;EPP BEMOLOLO;420603160101;EPP BEMOLOLO SALLE 1
15406;BOENY;SOALALA;SOALALA;BEMOLOLO;EPP BEMOLOLO;420603160102;EPP BEMOLOLO SALLE 2
15407;BOENY;SOALALA;SOALALA;AMBATOJOBY;EPP AMBATOJOBY;420603180101;EPP AMBATOJOBY
15408;BOENY;SOALALA;ANTSAKOAMILEKA;ANTSAKOAMILEKA;EPP ANTSAKOAMILEKA;420604010101;EPP ANTSAKOAMILEKA
15409;BOENY;SOALALA;ANTSAKOAMILEKA;AMBARINANAHARY;EPP AMBARINANAHARY;420604020101;EPP AMBARINANAHARY
15410;BOENY;SOALALA;ANTSAKOAMILEKA;ANTANANDAVA;EPP ANTANANDAVA;420604030101;EPP ANTANANDAVA
15411;BOENY;SOALALA;ANTSAKOAMILEKA;ANTANAMBAO;EPP ANTANAMBAO;420604040101;EPP ANTANAMBAO SALLE 1
15412;BOENY;SOALALA;ANTSAKOAMILEKA;ANTANIMAVO;EPP ANTANIMAVO;420604050101;EPP ANTANIMAVO
15413;BOENY;SOALALA;ANTSAKOAMILEKA;BEKALALAO;EPP BEKALALAO;420604060101;EPP BEKALALAO
15414;BOENY;SOALALA;ANTSAKOAMILEKA;ANADABOMARO;EPP ANADABOMARO;420604070101;EPP ANADABOMARO
15415;BOENY;SOALALA;ANTSAKOAMILEKA;MARERANO;EPP MARERANO;420604080101;EPP MARERANO
15416;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMBATOMAINTY AVARADALANA;EPP AMBATOMAINTY;430101010101;EPP AMBATOMAINTY SALLE 1
15417;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMBATOMAINTY AVARADALANA;EPP AMBATOMAINTY;430101010102;EPP AMBATOMAINTY SALLE 2
15418;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMBATOMAINTY ANDREFANDALANA;EPP AMBATOMAINTY;430101020101;EPP AMBATOMAINTY SALLE 3
15419;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMBATOMAINTY ANDREFANDALANA;EPP AMBATOMAINTY;430101020102;EPP AMBATOMAINTY SALLE 4
15420;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMBATOMAINTY ANDREFANDALANA;EPP AMBATOMAINTY;430101020103;EPP AMBATOMAINTY SALLE 5
15421;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMBAHIVAHY;EPP AMBAHIVAHY;430101030101;EPP AMBAHIVAHY
15422;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMPETSAPETSA;EPP AMPETSAPETSA;430101040101;EPP AMPETSAPETSA
15423;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMPIAKARANDRAIFITO;EPP AMPIAKARANDRAIFITO;430101050101;EPP AMPIAKARANDRAIFITO
15424;MELAKY;AMBATOMAINTY;AMBATOMAINTY;ANKIHONALA;EPP ANKIHONALA;430101060101;EPP ANKIHONALA
15425;MELAKY;AMBATOMAINTY;AMBATOMAINTY;AMPASINDAVA;EPP AMPASINDAVA;430101070101;EPP AMPASINDAVA
15426;MELAKY;AMBATOMAINTY;AMBATOMAINTY;BELAVABARY;EPP BELAVABARY;430101080101;EPP BELAVABARY
15427;MELAKY;AMBATOMAINTY;AMBATOMAINTY;DOANY;EPP DOANY;430101090101;EPP DOANY
15428;MELAKY;AMBATOMAINTY;AMBATOMAINTY;BAKORANO;ECOLE BAKORANO;430101100101;ECOLE BAKORANO S
15429;MELAKY;AMBATOMAINTY;AMBATOMAINTY;MAHAZOARIVO;ECOLE MAHAZOARIVO;430101110101;ECOLE MAHAZOARIVO S
15430;MELAKY;AMBATOMAINTY;AMBATOMAINTY;TSINJOARIVO;EPP TSINJOARIVO;430101120101;EPP TSINJOARIVO S
15431;MELAKY;AMBATOMAINTY;BEMARIVO;AMBALARANO.;EPP ANBALARANO;430102010101;EPP AMBALARANO
15432;MELAKY;AMBATOMAINTY;BEMARIVO;AMBARINANAHARY;EPP AMBARINANAHARY;430102020101;EPP AMBARINANAHARY
15433;MELAKY;AMBATOMAINTY;BEMARIVO;BEDAMBA;EPP BEDAMBA;430102030101;EPP BEDAMBA
15434;MELAKY;AMBATOMAINTY;BEMARIVO;BESAKAY;EPP BESAKAY;430102040101;EPP BESAKAY
15435;MELAKY;AMBATOMAINTY;BEMARIVO;BEMARIVO;EPP BEMARIVO;430102050101;EPP BEMARIVO
15436;MELAKY;AMBATOMAINTY;BEMARIVO;BELALANDA;ECOLE BELALANDA;430102060101;ECOLE BELALANDA S
15437;MELAKY;AMBATOMAINTY;BEMARIVO;DABOLAVA;ECOLE DABOLAVA;430102070101;ECOLE DABOLAVA S
15438;MELAKY;AMBATOMAINTY;BEMARIVO;MANIMANALY;ECOLE MANIMANALY;430102080101;ECOLE MANIMANALY S
15439;MELAKY;AMBATOMAINTY;MAROTSIALEHA;AMBAVANINARA;EPP AMBAVANINARA;430103010101;EPP AMBAVANINARA SALLE 1
15440;MELAKY;AMBATOMAINTY;MAROTSIALEHA;AMBAVANINARA;EPP AMBAVANINARA;430103010102;EPP AMBAVANINARA SALLE 2
15441;MELAKY;AMBATOMAINTY;MAROTSIALEHA;ANDRANOVORIMPANJAVA;EPP AMBARARATA ANDRANOVORIMPANJAVA;430103020101;EPP AMBARARATA
15442;MELAKY;AMBATOMAINTY;MAROTSIALEHA;BEKARARA;EPP BEKARARA;430103030101;EPP BEKARARA
15443;MELAKY;AMBATOMAINTY;MAROTSIALEHA;MAROTSIALEHA;EPP MAROTSIALEHA;430103040101;EPP MAROTSIALEHA
15444;MELAKY;AMBATOMAINTY;MAROTSIALEHA;AMBONARA;ECOLE AMBONARA;430103050101;ECOLE AMBONARA
15445;MELAKY;AMBATOMAINTY;MAROTSIALEHA;AMPANY;ECOLE AMPANY;430103060101;ECOLE AMPANY
15446;MELAKY;AMBATOMAINTY;MAROTSIALEHA;ANTANAMBAO;ECOLE ANTANAMBAO;430103070101;ECOLE ANTANAMBAO S
15447;MELAKY;AMBATOMAINTY;MAROTSIALEHA;ANDRANOMAVO;ECOLE ANDRANOMAVO;430103080101;ECOLE ANDRANOMAVO S
15448;MELAKY;AMBATOMAINTY;SARODRANO;ANDEBADEBA;EPP ANDEBADEBA;430104010101;EPP ANDEBADEBA
15449;MELAKY;AMBATOMAINTY;SARODRANO;ANDOHARANO;EPP ANDOHARANO;430104020101;EPP ANDOHARANO
15450;MELAKY;AMBATOMAINTY;SARODRANO;ANKILITOKA;ECOLE MANGABE;430104030101;ECOLE MANGABE
15451;MELAKY;AMBATOMAINTY;SARODRANO;SARODRANO;EPP SARODRANO;430104070101;EPP SARODRANO SALLE 1
15452;MELAKY;AMBATOMAINTY;SARODRANO;SARODRANO;EPP SARODRANO;430104070102;EPP SARODRANO SALLE 2
15453;MELAKY;AMBATOMAINTY;SARODRANO;SOANIERANA;ECOLE SOANIERANA;430104100101;ECOLE SOANIERANA S
15454;MELAKY;AMBATOMAINTY;MAKARAINGO;MAKARAINGO;EPP MAKARAINGO;430105010101;EPP MAKARAINGO
15455;MELAKY;AMBATOMAINTY;MAKARAINGO;BORY;EPP BORY;430105020101;EPP BORY
15456;MELAKY;AMBATOMAINTY;MAKARAINGO;MANAMBAO II;ECOLE MANAMBAO II;430105030101;ECOLE MANAMBAO II
15457;MELAKY;AMBATOMAINTY;MAKARAINGO;AMBALASATRANA;ECOLE AMBALASATRANA;430105040101;ECOLE AMBALASATRANA
15458;MELAKY;AMBATOMAINTY;MAKARAINGO;ANDROTRA;ECOLE ANDROTRA;430105050101;ECOLE ANDROTRA
15459;MELAKY;AMBATOMAINTY;MAKARAINGO;AMBONARABE;ECOLE AMBONARABE;430105060101;ECOLE AMBONARABE
15460;MELAKY;ANTSALOVA;ANTSALOVA;ANTSALOVA;TRANOPOKONOLONA;430201010101;TRANOPOKONOLONA ANTSALOVA 01
15461;MELAKY;ANTSALOVA;ANTSALOVA;ANTSALOVA;TRANOPOKONOLONA;430201010102;TRANOPOKONOLONA ANTSALOVA 02
15462;MELAKY;ANTSALOVA;ANTSALOVA;AMBONARA;EPP AMBONARA;430201030101;EPP AMBONARA
15463;MELAKY;ANTSALOVA;ANTSALOVA;ANJIABE;EPP ANJIABE;430201040101;EPP ANJIABE S
15464;MELAKY;ANTSALOVA;ANTSALOVA;ANTSALOVABE;EPP ANTSALOVABE;430201050101;EPP ANTSALOVABE
15465;MELAKY;ANTSALOVA;ANTSALOVA;ARINDRANO;EPP ARINDRANO;430201060101;EPP ARINDRANO
15466;MELAKY;ANTSALOVA;ANTSALOVA;BERANO;LOG NOTABLE BERANO I;430201070101;LOG NOTABLE BERANO I
15467;MELAKY;ANTSALOVA;ANTSALOVA;MASAMA;EPP MASAMA;430201080101;EPP MASAMA
15468;MELAKY;ANTSALOVA;ANTSALOVA;AMPAMOTY;MAGASIN STOCKAGE AMPAMOTY;430201090101;MAGASIN STOCKAGE AMPAMOTY
15469;MELAKY;ANTSALOVA;ANTSALOVA;SARIRIAKA;EPP SARIRIAKA;430201100101;EPP SARIRIAKA S
15470;MELAKY;ANTSALOVA;ANTSALOVA;ANKOTROFOTSY;LOG NOTABLE ANKOTROFOTSY;430201130101;LOG NOTABLE ANKOTROFOTSY
15471;MELAKY;ANTSALOVA;ANTSALOVA;AMBALAKAZAHA;EPP EZAKA ANTSALOVA;430201140101;BUR FKT AMBALAKAZAHA
15472;MELAKY;ANTSALOVA;ANTSALOVA;AMBALAVONDRO;LOG NOTABLE AMBALAVONDRO;430201150101;LOG NOTABLE AMBALAVONDRO
15473;MELAKY;ANTSALOVA;ANTSALOVA;AMBOLATERA;CEG ANTSALOVA;430201170101;CEG ANTSALOVA
15474;MELAKY;ANTSALOVA;ANTSALOVA;AMPASIBE;CASE NOTABLE MALIDA AMPASIBE;430201180101;CASE NOTABLE MALIDA AMPASIBE
15475;MELAKY;ANTSALOVA;ANTSALOVA;ANTSALOVABE;CASE NOTABLE TSIMINDRA ANDOLOBE;430201190101;CASE NOTABLE TSIMINDRA ANDOLOBE
15476;MELAKY;ANTSALOVA;ANTSALOVA;AMBOLATERA;LOG NOTABLE ANGORA;430201200101;LOG NOTABLE ANGORA
15477;MELAKY;ANTSALOVA;ANTSALOVA;BERANO;AMBOHIMENA BERANO II;430201210101;AMBOHIMENA BERANO II
15478;MELAKY;ANTSALOVA;ANTSALOVA;SOARANO;LOG NOTABLE VELOTSARA MICHEL;430201220101;LOG NOTABLE VELOTSARA MICHEL
15479;MELAKY;ANTSALOVA;BEKOPAKA;BEKOPAKA;EPP BEKOPAKA;430202010101;EPP BEKOPAKA
15480;MELAKY;ANTSALOVA;BEKOPAKA;ANDRANOLAVA;BUR FKT ANDRANOLAVA;430202020101;BUR FKT ANDRANOLAVA
15481;MELAKY;ANTSALOVA;BEKOPAKA;BEGARA;BUR FKT BEGARA;430202030101;BUR FKT BEGARA
15482;MELAKY;ANTSALOVA;BEKOPAKA;TSINJORANO;BUR FKT TSINJORANO;430202040101;BUR FKT TSINJORANO
15483;MELAKY;ANTSALOVA;BEKOPAKA;AMBALAKAZAHA;BUR FKT AMBALAKAZAHA/BEKOPAKA;430202050101;BUR FKT AMBALAKAZAHA/BEKOPAKA 01
15484;MELAKY;ANTSALOVA;BEKOPAKA;AMBALAKAZAHA;BUR FKT AMBALAKAZAHA/BEKOPAKA;430202050102;BUR FKT AMBALAKAZAHA/BEKOPAKA 02
15485;MELAKY;ANTSALOVA;BEKOPAKA;BEREKETA;BUR FKT BEREKETA;430202060101;BUR FKT BEREKETA
15486;MELAKY;ANTSALOVA;BEKOPAKA;ANKILITELO;BUR FKT ANKILITELO;430202070101;BUR FKT ANKILITELO
15487;MELAKY;ANTSALOVA;BEKOPAKA;MANGNAVONY;LOG NOTABLE MANGNAVONY;430202080101;LOG NOTABLE MANGNAVONY
15488;MELAKY;ANTSALOVA;BEKOPAKA;ANTSARONA;LOG NOTABLE ANTSARONA;430202090101;LOG NOTABLE ANTSARONA
15489;MELAKY;ANTSALOVA;BEKOPAKA;BEAMPINGA SUD;LOG NOTABLE BEAMPINGA-SUD;430202100101;LOG NOTABLE BEAMPINGA-SUD
15490;MELAKY;ANTSALOVA;BEKOPAKA;ANKILISOA;LOG NOTABLE ANKILISOA;430202110101;LOG NOTABLE ANKILISOA
15491;MELAKY;ANTSALOVA;MASOARIVO;MASOARIVO;EPP MASOARIVO;430203010101;EPP MASOARIVO Salle 1
15492;MELAKY;ANTSALOVA;MASOARIVO;MASOARIVO;EPP MASOARIVO;430203010102;EPP MASOARIVO SALLE 2
15493;MELAKY;ANTSALOVA;MASOARIVO;BESARA;LOG NOTABLE BESARA;430203020101;LOG NOTABLE BESARA
15494;MELAKY;ANTSALOVA;MASOARIVO;BEVOAY;LOG NOTABLE BEVOAY;430203030101;LOG NOTABLE BEVOAY
15495;MELAKY;ANTSALOVA;MASOARIVO;AMBALAMANGA;EPP AMBALAMANGA;430203040101;EPP AMBALAMANGA
15496;MELAKY;ANTSALOVA;MASOARIVO;AMBONDRO;EPP AMBONDRO/ANTSERANANDAKA;430203050101;EPP AMBONDRO/ANTSERANANDAKA  Salle 1
15497;MELAKY;ANTSALOVA;MASOARIVO;AMBONDRO;EPP AMBONDRO/ANTSERANANDAKA;430203050102;EPP AMBONDRO/ANTSERANANDAKA SALLE 2
15498;MELAKY;ANTSALOVA;MASOARIVO;BEMAMBA;EPP BEMAMBA;430203060101;EPP BEMAMBA 01
15499;MELAKY;ANTSALOVA;MASOARIVO;BEMAMBA;EPP BEMAMBA;430203060102;EPP BEMAMBA 02
15500;MELAKY;ANTSALOVA;MASOARIVO;AMBERENY;EPP AMBERENY;430203070101;EPP AMBERENY
15501;MELAKY;ANTSALOVA;MASOARIVO;BENJAVILO;C.E.G  MASOARIVO;430203080101;C.E.G  MASOARIVO I
15502;MELAKY;ANTSALOVA;MASOARIVO;BENJAVILO;C.E.G  MASOARIVO;430203080102;C.E.G MASOARIVO II
15503;MELAKY;ANTSALOVA;MASOARIVO;MAHAZOARIVO;LOG NOTABLE MAHAZOARIVO;430203090101;LOG NOTABLE MAHAZOARIVO
15504;MELAKY;ANTSALOVA;MASOARIVO;AMBALAKAZAHA;EPP AMBALAKAZAHA/FENOARIVO;430203100101;EPP AMBALAKAZAHA/FENOARIVO SALLE 01
15505;MELAKY;ANTSALOVA;MASOARIVO;AMBALAKAZAHA;EPP AMBALAKAZAHA/FENOARIVO;430203100102;EPP AMBALAKAZAHA/FENOARIVO SALLE 2
15506;MELAKY;ANTSALOVA;SOAHANY;SOAHANY;EPP SOAHANY I;430204010101;EPP SOAHANY
15507;MELAKY;ANTSALOVA;SOAHANY;MOKOTIBE;EPP MOKOTIBE;430204020101;EPP MOKOTIBE
15508;MELAKY;ANTSALOVA;SOAHANY;AMBODIMANGA;EPP AMBODIMANGA;430204030101;EPP AMBODIMANGA
15509;MELAKY;ANTSALOVA;SOAHANY;BESARA;EPP BESARA HAUT;430204040101;EPP BESARA HAUT
15510;MELAKY;ANTSALOVA;SOAHANY;BEMIA;EPP BEMIA;430204050101;EPP BEMIA
15511;MELAKY;ANTSALOVA;SOAHANY;TSIANALOKA;EPP TSIANALOKA;430204060101;EPP TSIANALOKA
15512;MELAKY;ANTSALOVA;SOAHANY;ANKILIROA;LOG NOTABLE ANKILIROA;430204070101;LOG NOTABLE ANKILIROA
15513;MELAKY;ANTSALOVA;SOAHANY;AMPANANIRA;LOG NOTABLE AMPANANIRA;430204080101;LOG NOTABLE AMPANANIRA
15514;MELAKY;ANTSALOVA;SOAHANY;MAROVAHATRA;LOG NOTABLE MAROVAHATRA;430204090101;LOG NOTABLE MAROVAHATRA
15515;MELAKY;ANTSALOVA;SOAHANY;ANKABOKA;LOG NOTABLE ANKABOKA;430204100101;LOG NOTABLE ANKABOKA
15516;MELAKY;ANTSALOVA;SOAHANY;BETAKILOTRA;LOG NOTABLE BETAKILOTRA;430204110101;LOG NOTABLE BETAKILOTRA
15517;MELAKY;ANTSALOVA;SOAHANY;BEPIRIRIAKA;LOG NOTABLE BEPIRIAKA;430204120101;LOG NOTABLE BEPIRIAKA
15518;MELAKY;ANTSALOVA;TRANGAHY;TRANGAHY;EPP TRANGAHY;430205010101;EPP TRANGAHY
15519;MELAKY;ANTSALOVA;TRANGAHY;SOATANA;EPP SOATANA;430205020101;EPP SOATANA SALLE 1
15520;MELAKY;ANTSALOVA;TRANGAHY;SOATANA;EPP SOATANA;430205020102;EPP SOATANA SALLE 2
15521;MELAKY;ANTSALOVA;TRANGAHY;BERONGONY;EPP BERONGONY;430205030101;EPP BERONGONY
15522;MELAKY;ANTSALOVA;TRANGAHY;MAFIOVY-KORAO;EPP MAFIOVY-KORAO;430205040101;EPP MAFIOVY-KORAO
15523;MELAKY;ANTSALOVA;TRANGAHY;BEJANGOA;EPP BEJANGOA;430205050101;EPP BEJANGOA
15524;MELAKY;ANTSALOVA;TRANGAHY;ANTSALAZA;EPP ANTSALAZA;430205060101;EPP ANTSALAZA
15525;MELAKY;ANTSALOVA;TRANGAHY;FENOARIVO-BARA;EPP FENOARIVO-BARA;430205070101;EPP FENOARIVO-BARA
15526;MELAKY;ANTSALOVA;TRANGAHY;ANKILIJORIA;LOG NOTABLE ANKILIJORIA;430205080101;LOG NOTABLE ANKILIJORIA
15527;MELAKY;ANTSALOVA;TRANGAHY;ANKORABATO;EPP ANKORABATO, BEJEA;430205090101;EPP ANKORABATO, BEJEA
15528;MELAKY;ANTSALOVA;BEMARAHA ATSINANANA;TSIANDRO;BUR FKT TSIANDRO;430206010101;BUR FKT TSIANDRO
15529;MELAKY;ANTSALOVA;BEMARAHA ATSINANANA;AMBONDRO;BUR FKT AMBONDRO;430206020101;BUR FKT AMBONDRO
15530;MELAKY;ANTSALOVA;BEMARAHA ATSINANANA;MAHADENGY;EPP MAHADENGY;430206030101;EPP MAHADENGY
15531;MELAKY;ANTSALOVA;BEMARAHA ATSINANANA;BEVERO;LOG NOTABLE BEVERO;430206040101;LOG NOTABLE BEVERO
15532;MELAKY;ANTSALOVA;BEMARAHA ATSINANANA;TSIANAPAHA;EPP TSIANAPAHA;430206050101;EPP TSIANAPAHA
15533;MELAKY;BESALAMPY;AMBOLODIA SUD;ANTANAMBAO ANKAZOMIZOA;EPP Antanambao Ankazomizoa;430301010101;Epp Antanambao Ankazomizoa
15534;MELAKY;BESALAMPY;AMBOLODIA SUD;BEVOALAVO;Case Tahafy Bevoalavo;430301020101;Case Tahafy Bevoalavo
15535;MELAKY;BESALAMPY;AMBOLODIA SUD;ANDOLAMOSO;EPP Andolamoso;430301030101;Epp Andolamoso
15536;MELAKY;BESALAMPY;AMBOLODIA SUD;ANDOLAMOSO;EC Andriabe;430301030201;EC Andriabe
15537;MELAKY;BESALAMPY;AMBOLODIA SUD;AMBAKOA;Case Tovony Ambakoa;430301040101;Case Tovony Ambakoa
15538;MELAKY;BESALAMPY;AMBOLODIA SUD;AMBOLODIA SUD;EPP Ambolodia Sud;430301050101;Epp Ambolodia Sud
15539;MELAKY;BESALAMPY;AMBOLODIA SUD;AMBOLODIA SUD;EC Antanambao Nord;430301050201;EC Antanambao Nord
15540;MELAKY;BESALAMPY;AMBOLODIA SUD;AMBOLODIA SUD;EC Andasibe;430301050301;EC Andasibe
15541;MELAKY;BESALAMPY;AMBOLODIA SUD;AMBARARATA;Ecole communautaire Ambararata;430301060101;Ecole communautaire Ambararata
15542;MELAKY;BESALAMPY;AMBOLODIA SUD;BEMOKA;EPP Bemoka;430301070101;Epp Bemoka
15543;MELAKY;BESALAMPY;AMBOLODIA SUD;AMBARAVARANDRAFIA;Case M.Lepa Armand Ambaravaradrafia;430301080101;Case M.Lepa Armand Ambaravaradrafia
15544;MELAKY;BESALAMPY;AMBOLODIA SUD;ANTSIRABE;EPP Antsirabe;430301090101;Epp Antsirabe
15545;MELAKY;BESALAMPY;AMPAKO;AMPAKO;EPP Ampako;430302010101;Epp Ampako
15546;MELAKY;BESALAMPY;AMPAKO;ANTSAKOAMARO;EC ANTSAKOAMARO;430302020101;EC ANTSAKOAMARO
15547;MELAKY;BESALAMPY;AMPAKO;ANKILAHILA;EC ANKILAHILA;430302030101;EC ANKILAHILA
15548;MELAKY;BESALAMPY;AMPAKO;BEZEKY;EC BEZEKY;430302040101;EC BEZEKY
15549;MELAKY;BESALAMPY;AMPAKO;BETSOTAKY;EPP Betsotaky;430302050101;Epp Betsotaky
15550;MELAKY;BESALAMPY;AMPAKO;AMPANANGANA;EC AMPANANGANA;430302060101;EC AMPANANGANA
15551;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;ANKASAKASA;EPP ANKASAKASA;430303010101;EPP ANKASAKASA SALLE I
15552;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;ANKASAKASA;EPP ANKASAKASA;430303010102;EPP ANKASAKASA SALLE II
15553;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;BETONGOA;EPP BETONGOA;430303020101;EPP BETONGOA
15554;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;MAKADANY;EPP Ambalanomby;430303030101;EPP Aambalanomby
15555;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;MAKADANY;EC Analamanjeky;430303030201;EC Analamanjeky
15556;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;MAKADANY;EC Folaha;430303030301;EC Folaha
15557;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;AMBARABAHY;EPP Ambarabahy;430303040101;Epp Ambarabahy
15558;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;ANDOLOBE;EPP Andolobe;430303050101;Epp Andolobe
15559;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;ANDOLOBE;EPP Anosibe;430303050201;EPP Anosibe
15560;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;BEJOFO;EPP Bejofo;430303060101;Epp Bejofo
15561;MELAKY;BESALAMPY;ANKASAKASA TSIBIRAY;MORAFENO;EPP MORAFENO;430303070101;EPP MORAFENO
15562;MELAKY;BESALAMPY;BEKODOKA;BEKODOKA;Epp Bekodoka;430304010101;Epp Bekodoka
15563;MELAKY;BESALAMPY;BEKODOKA;BEFOTAKA;EPP BEFOTAKA;430304020101;EPP BEFOTAKA
15564;MELAKY;BESALAMPY;BEKODOKA;ANTANIMBARIBE;Case Rafidison;430304030101;Case Rafidison
15565;MELAKY;BESALAMPY;BEKODOKA;AMBOHIBENGY;Case  Filaza;430304040101;Case  Filaza
15566;MELAKY;BESALAMPY;BEKODOKA;BETSINGILO;EC BETSINGILO;430304050101;EC BETSINGILO
15567;MELAKY;BESALAMPY;BEKODOKA;MORAFENO;Epp Morafeno Sud;430304060101;Epp Morafeno
15568;MELAKY;BESALAMPY;BEKODOKA;AMBALATANY;Case Iasa Fiavia;430304070101;Case Iasa Fiavia
